Postcode,latitude,longitude
TR13 8QT,50.1039982358645,-5.27060825960792
TR20 9DN,50.129106493239,-5.422267171068111
TR2 5JB,50.18478564873592,-5.009975698906734
BN20 7AN,50.75976188018734,0.28056191454856755
TQ4 7AG,50.41198396619171,-3.573086689701669
BN9 0BN,50.78617256207998,0.06008728193877482
BN22 0TX,50.804252236308464,0.271225931792222
TR26 3BJ,50.20727902104176,-5.520005857455262
TR3 6DZ,50.2633245440036,-5.107143848924534
TR1 1RJ,50.27252082275435,-5.03824761450822
PL26 6ET,50.29986123104746,-4.83141348383355
PL3 4LS,50.388297609392204,-4.140419092841419
PL7 4QZ,50.39691234288412,-4.071191140542583
TQ10 9LT,50.43095396620823,-3.7940504311004513
TQ3 1RN,50.456046390772855,-3.5859572542356415
TQ1 1PU,50.46432683627226,-3.516548113928732
PO30 2ES,50.7070728074637,-1.284273970711127
PO33 1AG,50.72080511973174,-1.1440773341319623
TN38 9JB,50.87227295204683,0.543879592727737
TN35 5DD,50.8780485380619,0.6144230939683769
PL25 3RR,50.35279372128046,-4.776363736230661
PL5 4LR,50.43228460222014,-4.153813198435312
PL6 7JX,50.4409085873959,-4.084523835063247
PO31 7AG,50.751404886288206,-1.295087424245445
BN14 9QS,50.837712151450106,-0.38164986441095755
BN1 5LF,50.856603370415165,-0.17042528368753934
TN33 9NS,50.90509318441214,0.3935924365942764
PL26 8QZ,50.39669269352613,-4.790339189542253
TQ14 9RD,50.55246186309079,-3.542255152018632
BH12 2NN,50.731697375084096,-1.937016714260385
BH9 1BX,50.73898269512335,-1.866974292743102
BH23 2JN,50.74622555437067,-1.7969119448604993
PO13 9RU,50.809497386343764,-1.165471524821775
PO19 3QB,50.84315652651497,-0.8140060223891039
PO18 0FP,50.84976020356117,-0.7436575094562835
BN44 3FH,50.8884837095969,-0.3211876679110329
TN21 9PN,50.94367452245808,0.3136950192887871
TN28 8XQ,50.99538121317999,0.9499191661039267
TR8 4JF,50.422427921746,-4.942672851095755
PL14 5HT,50.48526230213844,-4.458111101045643
PL17 7AW,50.50283986800825,-4.319450089262855
PL17 8JP,50.51156601707223,-4.250084259216731
TQ13 7PN,50.563044612237555,-3.8334008025897397
DT2 7RY,50.7237143313398,-2.4386380071666536
BH21 3BX,50.76861991395145,-2.018547378529123
SO45 2NW,50.83311060871118,-1.3870545967668575
PO14 4BY,50.8469733422834,-1.2465083312139393
PO16 7ER,50.85384070490827,-1.1762065833609863
PO7 5HP,50.86744732906037,-1.035546394976442
RH20 4JU,50.92016313822606,-0.47216561836893495
RH15 0HD,50.95171769101317,-0.11946910973830295
BN8 4RT,50.964038910486686,0.021731319398125164
TN22 1BA,50.97013503778933,0.09235719515283647
TN26 2QJ,51.034350146584394,0.8703363884618827
BH22 0LE,50.82751311306033,-1.8897613659642458
BH24 3HF,50.84198791943161,-1.749359659912539
SO31 8LT,50.88438964661278,-1.327681371206702
PO17 5DE,50.898182149617746,-1.1869670648224735
RH13 8LQ,50.97734203253001,-0.34111554861388815
RH17 5QZ,50.98993481649341,-0.19988751756376474
TN22 3EW,51.01460438929928,0.0827772521753183
TN6 3RS,51.026680907642,0.22421220400339636
TN5 7EL,51.038585069792184,0.36571433668110964
TN18 4JR,51.050316744784205,0.5072827480150921
CT17 9HJ,51.111752061712586,1.2870531021775697
PL19 0ND,50.616866418525795,-4.138165987087713
EX2 8XR,50.6929285152673,-3.5112982286223224
BH24 3QG,50.87904186316979,-1.8309399370289845
SO15 2TU,50.921746132961,-1.4089908541123461
SO30 3AA,50.928714080845,-1.3385975042756824
RH13 9JJ,51.02176870061331,-0.35111505533920023
TN3 9LT,51.071162042053196,0.21474216358003673
TN26 3HZ,51.11211696328822,0.7107540950938045
TN23 3PU,51.123429379319695,0.8526180418620537
PL27 6SG,50.56317034604324,-4.91592468021135
PL15 9AW,50.634711597009456,-4.360379216577293
EX4 2LB,50.72870140145244,-3.5940309711421086
EX4 6DN,50.73699357283278,-3.5242248547443733
EX5 7DZ,50.753451427042755,-3.3845449650887773
SO50 4DF,50.97303660850071,-1.3495395246842408
GU32 1RQ,51.00727240171165,-0.996959052893591
GU27 3JF,51.033889262247634,-0.7145554292657772
RH13 6AW,51.072525537758445,-0.29040107627145323
TN3 9JN,51.11564165042962,0.2052495125481141
CT15 4DQ,51.20090151740153,1.2700988729064733
EX14 3HJ,50.80570637736469,-3.3274390870708714
EX14 4UG,50.82192861120046,-3.18749860989448
EX13 7TP,50.83798161960983,-3.0474694917916803
SP5 2EN,50.98916732326386,-1.642484781221673
SO51 0HP,51.003347868211115,-1.5015354329415351
GU33 6NF,51.05835671116788,-0.9369610799754612
GU27 3DH,51.07827693488673,-0.7249330031058578
DT10 1HQ,50.96745597101254,-2.2876003379577052
SO23 7XA,51.068624038412295,-1.3008929558968139
SO24 9NP,51.08239150277448,-1.159617662818964
RH6 7AW,51.17394682712128,-0.168593473198177
TN11 9DE,51.210596447803354,0.25720555243696963
CT2 9BH,51.27373742036883,1.0394016943296507
CT1 1GG,51.27921703443299,1.1106066874086673
CT3 1RQ,51.28465316840746,1.181827218852976
SO21 2RR,51.112948522077524,-1.311847543724358
GU34 4AL,51.14034192595884,-1.0289571056384763
GU7 1PL,51.18014115936196,-0.6040532225249412
TN14 6HR,51.24907134997576,0.17663511986258942
ME19 4LA,51.2669617749295,0.38991563694998
ME14 5AN,51.278671913578776,0.5321866269517379
ME13 8XR,51.30718747004807,0.8881512902722096
CT12 4AP,51.339971124161735,1.315833803934761
CT12 5EU,51.345282651699506,1.38716825684948
